ExpenseKey,DateKey,BusinessUnitKey,ExpenseAccountKey,ExpenseAmount,PaymentMethodKey,Description,ReferenceNumber
1,20230101,1,1,25232.4,2,Shop Rent SC — January 2023,EXP-20230101-01-BU1
2,20230125,1,2,52853.58,2,Staff Salaries SC — January 2023,EXP-20230125-02-BU1
3,20230115,1,3,14455.01,2,Electricity SC — January 2023,EXP-20230115-03-BU1
4,20230101,1,4,141.25,1,Display & Decoration — 01 January 2023,EXP-20230101-04-BU1
5,20230102,1,4,150.6,1,Display & Decoration — 02 January 2023,EXP-20230102-04-BU1
6,20230103,1,4,120.27,1,Display & Decoration — 03 January 2023,EXP-20230103-04-BU1
7,20230104,1,4,91.77,1,Display & Decoration — 04 January 2023,EXP-20230104-04-BU1
8,20230105,1,4,87.05,1,Display & Decoration — 05 January 2023,EXP-20230105-04-BU1
9,20230106,1,4,97.76,1,Display & Decoration — 06 January 2023,EXP-20230106-04-BU1
10,20230107,1,4,144.15,1,Display & Decoration — 07 January 2023,EXP-20230107-04-BU1
11,20230108,1,4,125.74,1,Display & Decoration — 08 January 2023,EXP-20230108-04-BU1
12,20230109,1,4,94.38,1,Display & Decoration — 09 January 2023,EXP-20230109-04-BU1
13,20230110,1,4,93.84,1,Display & Decoration — 10 January 2023,EXP-20230110-04-BU1
14,20230111,1,4,148.65,1,Display & Decoration — 11 January 2023,EXP-20230111-04-BU1
15,20230112,1,4,121.82,1,Display & Decoration — 12 January 2023,EXP-20230112-04-BU1
16,20230113,1,4,96.68,1,Display & Decoration — 13 January 2023,EXP-20230113-04-BU1
17,20230114,1,4,149.03,1,Display & Decoration — 14 January 2023,EXP-20230114-04-BU1
18,20230115,1,4,136.31,1,Display & Decoration — 15 January 2023,EXP-20230115-04-BU1
19,20230116,1,4,118.77,1,Display & Decoration — 16 January 2023,EXP-20230116-04-BU1
20,20230117,1,4,117.85,1,Display & Decoration — 17 January 2023,EXP-20230117-04-BU1
21,20230118,1,4,132.84,1,Display & Decoration — 18 January 2023,EXP-20230118-04-BU1
22,20230119,1,4,108.7,1,Display & Decoration — 19 January 2023,EXP-20230119-04-BU1
23,20230120,1,4,156.48,1,Display & Decoration — 20 January 2023,EXP-20230120-04-BU1
24,20230121,1,4,140.92,1,Display & Decoration — 21 January 2023,EXP-20230121-04-BU1
25,20230122,1,4,130.55,1,Display & Decoration — 22 January 2023,EXP-20230122-04-BU1
26,20230123,1,4,133.91,1,Display & Decoration — 23 January 2023,EXP-20230123-04-BU1
27,20230124,1,4,156.2,1,Display & Decoration — 24 January 2023,EXP-20230124-04-BU1
28,20230125,1,4,85.04,1,Display & Decoration — 25 January 2023,EXP-20230125-04-BU1
29,20230126,1,4,85.91,1,Display & Decoration — 26 January 2023,EXP-20230126-04-BU1
30,20230127,1,4,140.96,1,Display & Decoration — 27 January 2023,EXP-20230127-04-BU1
31,20230128,1,4,99.38,1,Display & Decoration — 28 January 2023,EXP-20230128-04-BU1
32,20230129,1,4,133.75,1,Display & Decoration — 29 January 2023,EXP-20230129-04-BU1
33,20230130,1,4,120.61,1,Display & Decoration — 30 January 2023,EXP-20230130-04-BU1
34,20230131,1,4,107.29,1,Display & Decoration — 31 January 2023,EXP-20230131-04-BU1
35,20230101,1,5,130.09,1,Packaging SC — 01 January 2023,EXP-20230101-05-BU1
36,20230102,1,5,180.84,1,Packaging SC — 02 January 2023,EXP-20230102-05-BU1
37,20230103,1,5,124.47,1,Packaging SC — 03 January 2023,EXP-20230103-05-BU1
38,20230104,1,5,123.33,1,Packaging SC — 04 January 2023,EXP-20230104-05-BU1
39,20230105,1,5,149.69,1,Packaging SC — 05 January 2023,EXP-20230105-05-BU1
40,20230106,1,5,119.66,1,Packaging SC — 06 January 2023,EXP-20230106-05-BU1
41,20230107,1,5,168.26,1,Packaging SC — 07 January 2023,EXP-20230107-05-BU1
42,20230108,1,5,200.87,1,Packaging SC — 08 January 2023,EXP-20230108-05-BU1
43,20230109,1,5,178.16,1,Packaging SC — 09 January 2023,EXP-20230109-05-BU1
44,20230110,1,5,164.7,1,Packaging SC — 10 January 2023,EXP-20230110-05-BU1
45,20230111,1,5,145.29,1,Packaging SC — 11 January 2023,EXP-20230111-05-BU1
46,20230112,1,5,200.5,1,Packaging SC — 12 January 2023,EXP-20230112-05-BU1
47,20230113,1,5,190.45,1,Packaging SC — 13 January 2023,EXP-20230113-05-BU1
48,20230114,1,5,184.92,1,Packaging SC — 14 January 2023,EXP-20230114-05-BU1
49,20230115,1,5,129.97,1,Packaging SC — 15 January 2023,EXP-20230115-05-BU1
50,20230116,1,5,120.06,1,Packaging SC — 16 January 2023,EXP-20230116-05-BU1
51,20230117,1,5,125.12,1,Packaging SC — 17 January 2023,EXP-20230117-05-BU1
52,20230118,1,5,132.64,1,Packaging SC — 18 January 2023,EXP-20230118-05-BU1
53,20230119,1,5,116.17,1,Packaging SC — 19 January 2023,EXP-20230119-05-BU1
54,20230120,1,5,191.23,1,Packaging SC — 20 January 2023,EXP-20230120-05-BU1
55,20230121,1,5,125.8,1,Packaging SC — 21 January 2023,EXP-20230121-05-BU1
56,20230122,1,5,129.65,1,Packaging SC — 22 January 2023,EXP-20230122-05-BU1
57,20230123,1,5,191.21,1,Packaging SC — 23 January 2023,EXP-20230123-05-BU1
58,20230124,1,5,197.72,1,Packaging SC — 24 January 2023,EXP-20230124-05-BU1
59,20230125,1,5,129.2,1,Packaging SC — 25 January 2023,EXP-20230125-05-BU1
60,20230126,1,5,135.94,1,Packaging SC — 26 January 2023,EXP-20230126-05-BU1
61,20230127,1,5,183.02,1,Packaging SC — 27 January 2023,EXP-20230127-05-BU1
62,20230128,1,5,198.85,1,Packaging SC — 28 January 2023,EXP-20230128-05-BU1
63,20230129,1,5,169.02,1,Packaging SC — 29 January 2023,EXP-20230129-05-BU1
64,20230130,1,5,149.75,1,Packaging SC — 30 January 2023,EXP-20230130-05-BU1
65,20230131,1,5,171.33,1,Packaging SC — 31 January 2023,EXP-20230131-05-BU1
66,20230101,2,6,23302.51,2,Shop Rent GR — January 2023,EXP-20230101-06-BU2
67,20230125,2,7,46298.39,2,Staff Salaries GR — January 2023,EXP-20230125-07-BU2
68,20230115,2,8,9618.02,2,Electricity GR — January 2023,EXP-20230115-08-BU2
69,20230101,2,9,200.93,1,Packaging GR — 01 January 2023,EXP-20230101-09-BU2
70,20230102,2,9,132.03,1,Packaging GR — 02 January 2023,EXP-20230102-09-BU2
71,20230103,2,9,165.33,1,Packaging GR — 03 January 2023,EXP-20230103-09-BU2
72,20230104,2,9,208.88,1,Packaging GR — 04 January 2023,EXP-20230104-09-BU2
73,20230105,2,9,193.21,1,Packaging GR — 05 January 2023,EXP-20230105-09-BU2
74,20230106,2,9,136.28,1,Packaging GR — 06 January 2023,EXP-20230106-09-BU2
75,20230107,2,9,198.35,1,Packaging GR — 07 January 2023,EXP-20230107-09-BU2
