PaymentKey,DateKey,PaymentMethodKey,BusinessUnitKey,OpeningBalance,TotalCollected,TotalPaid,ClosingBalance
1,20230101,1,1,50000.0,142352.19,71632.94,120719.25
2,20230101,2,1,150000.0,199994.1,29947.12,320046.98
3,20230101,3,1,10000.0,12252.64,0.0,22252.64
4,20230101,1,2,40000.0,117583.58,59154.71,98428.87
5,20230101,2,2,120000.0,94143.05,28017.23,186125.82
6,20230101,3,2,8000.0,897.51,0.0,8897.51
7,20230102,1,1,120719.25,108909.95,82545.84,147083.36
8,20230102,2,1,320046.98,131153.63,21897.01,429303.6
9,20230102,3,1,22252.64,25491.02,0.0,47743.66
10,20230102,1,2,98428.87,130804.0,66108.75,163124.12
11,20230102,2,2,186125.82,89363.4,8924.39,266564.83
12,20230102,3,2,8897.51,16361.03,0.0,25258.54
13,20230103,1,1,147083.36,120425.12,167294.72,100213.76
14,20230103,2,1,429303.6,166902.6,168581.07,427625.13
15,20230103,3,1,47743.66,15504.36,0.0,63248.02
16,20230103,1,2,163124.12,92499.86,46604.35,209019.63
17,20230103,2,2,266564.83,66124.8,0.0,332689.63
18,20230103,3,2,25258.54,14092.48,0.0,39351.02
19,20230104,1,1,100213.76,119219.07,59985.98,159446.85
20,20230104,2,1,427625.13,162344.1,0.0,589969.23
21,20230104,3,1,63248.02,19833.8,0.0,83081.82
22,20230104,1,2,209019.63,152940.9,76826.78,285133.75
23,20230104,2,2,332689.63,122921.36,0.0,455610.99
24,20230104,3,2,39351.02,17897.46,0.0,57248.48
25,20230105,1,1,159446.85,195939.03,143132.66,212253.22
26,20230105,2,1,589969.23,153184.35,66226.9,676926.68
27,20230105,3,1,83081.82,4922.08,0.0,88003.9
28,20230105,1,2,285133.75,113088.56,56918.64,341303.67
29,20230105,2,2,455610.99,74028.27,31501.8,498137.46
30,20230105,3,2,57248.48,19775.26,0.0,77023.74
31,20230106,1,1,212253.22,291240.46,145986.49,357507.19
32,20230106,2,1,676926.68,277876.42,0.0,954803.1
33,20230106,3,1,88003.9,24078.93,0.0,112082.83
34,20230106,1,2,341303.67,178329.29,89484.8,430148.16
35,20230106,2,2,498137.46,128615.61,0.0,626753.07
36,20230106,3,2,77023.74,17549.22,0.0,94572.96
37,20230107,1,1,357507.19,224669.57,112786.8,469389.96
38,20230107,2,1,954803.1,299748.45,0.0,1254551.55
39,20230107,3,1,112082.83,171824.12,0.0,283906.95
40,20230107,1,2,430148.16,189288.0,95005.28,524430.88
41,20230107,2,2,626753.07,136579.1,0.0,763332.17
42,20230107,3,2,94572.96,13861.17,0.0,108434.13
43,20230108,1,1,469389.96,69803.97,35415.88,503778.05
44,20230108,2,1,1254551.55,166817.59,0.0,1421369.14
45,20230108,3,1,283906.95,17005.35,0.0,300912.3
46,20230108,1,2,524430.88,166124.34,87356.57,603198.65
47,20230108,2,2,763332.17,124713.26,7986.72,880058.71
48,20230108,3,2,108434.13,21667.25,0.0,130101.38
49,20230109,1,1,503778.05,196714.66,209954.24,490538.47
50,20230109,2,1,1421369.14,210963.81,42209.76,1590123.19
51,20230109,3,1,300912.3,5326.6,0.0,306238.9
52,20230109,1,2,603198.65,139111.78,141273.41,601037.02
53,20230109,2,2,880058.71,90619.42,47374.51,923303.62
54,20230109,3,2,130101.38,19621.81,0.0,149723.19
55,20230110,1,1,490538.47,183758.36,92285.85,582010.98
56,20230110,2,1,1590123.19,146926.49,4950.43,1732099.25
57,20230110,3,1,306238.9,10739.95,0.0,316978.85
58,20230110,1,2,601037.02,186163.66,93397.2,693803.48
59,20230110,2,2,923303.62,121674.72,25561.51,1019416.83
60,20230110,3,2,149723.19,8888.88,0.0,158612.07
61,20230111,1,1,582010.98,117828.93,192145.02,507694.89
62,20230111,2,1,1732099.25,169572.73,124115.96,1777556.02
63,20230111,3,1,316978.85,124609.06,0.0,441587.91
64,20230111,1,2,693803.48,203741.54,109221.86,788323.16
65,20230111,2,2,1019416.83,139585.4,49558.96,1109443.27
66,20230111,3,2,158612.07,12630.18,0.0,171242.25
67,20230112,1,1,507694.89,113608.81,70931.49,550372.21
68,20230112,2,1,1777556.02,218880.56,62689.64,1933746.94
69,20230112,3,1,441587.91,13554.38,0.0,455142.29
70,20230112,1,2,788323.16,137388.71,70374.48,855337.39
71,20230112,2,2,1109443.27,100043.7,15785.71,1193701.26
72,20230112,3,2,171242.25,12769.74,0.0,184011.99
73,20230113,1,1,550372.21,219056.67,109957.91,659470.97
74,20230113,2,1,1933746.94,242705.52,0.0,2176452.46
75,20230113,3,1,455142.29,21795.73,0.0,476938.02
76,20230113,1,2,855337.39,267957.02,135986.59,987307.82
77,20230113,2,2,1193701.26,209299.23,61538.67,1341461.82
78,20230113,3,2,184011.99,18937.01,0.0,202949.0
79,20230114,1,1,659470.97,97017.96,98820.26,657668.67
80,20230114,2,1,2176452.46,277564.31,37995.56,2416021.21
81,20230114,3,1,476938.02,24574.84,0.0,501512.86
82,20230114,1,2,987307.82,156400.33,78571.18,1065136.97
83,20230114,2,2,1341461.82,122630.25,0.0,1464092.07
84,20230114,3,2,202949.0,15309.86,0.0,218258.86
85,20230115,1,1,657668.67,99216.1,50018.91,706865.86
86,20230115,2,1,2416021.21,243370.29,14455.01,2644936.49
87,20230115,3,1,501512.86,22706.57,0.0,524219.43
88,20230115,1,2,1065136.97,86501.05,43543.85,1108094.17
89,20230115,2,2,1464092.07,63221.11,9618.02,1517695.16
90,20230115,3,2,218258.86,4753.04,0.0,223011.9
91,20230116,1,1,706865.86,186486.31,112543.89,780808.28
92,20230116,2,1,2644936.49,236081.93,29879.1,2851139.32
93,20230116,3,1,524219.43,32013.43,0.0,556232.86
94,20230116,1,2,1108094.17,168792.72,85401.78,1191485.11
95,20230116,2,2,1517695.16,116618.04,16796.85,1617516.35
96,20230116,3,2,223011.9,12043.79,0.0,235055.69
97,20230117,1,1,780808.28,192280.81,96544.57,876544.52
98,20230117,2,1,2851139.32,249776.22,0.0,3100915.54
99,20230117,3,1,556232.86,9176.2,0.0,565409.06
100,20230117,1,2,1191485.11,176665.28,88726.01,1279424.38
101,20230117,2,2,1617516.35,125155.99,0.0,1742672.34
102,20230117,3,2,235055.69,18997.55,0.0,254053.24
103,20230118,1,1,876544.52,122690.67,138226.91,861008.28
104,20230118,2,1,3100915.54,234660.84,166444.42,3169131.96
105,20230118,3,1,565409.06,43298.92,0.0,608707.98
106,20230118,1,2,1279424.38,148766.47,74781.75,1353409.1
107,20230118,2,2,1742672.34,98635.4,0.0,1841307.74
108,20230118,3,2,254053.24,14736.54,0.0,268789.78
109,20230119,1,1,861008.28,123432.06,74668.23,909772.11
110,20230119,2,1,3169131.96,127914.15,16185.06,3280861.05
111,20230119,3,1,608707.98,31234.06,0.0,639942.04
112,20230119,1,2,1353409.1,132447.15,80759.08,1405097.17
113,20230119,2,2,1841307.74,95559.2,435.74,1936431.2
114,20230119,3,2,268789.78,24299.26,0.0,293089.04
115,20230120,1,1,909772.11,105240.54,187598.13,827414.52
116,20230120,2,1,3280861.05,151437.3,274071.87,3158226.48
117,20230120,3,1,639942.04,34282.5,0.0,674224.54
118,20230120,1,2,1405097.17,190464.16,95551.86,1500009.47
119,20230120,2,2,1936431.2,120363.16,0.0,2056794.36
120,20230120,3,2,293089.04,23278.19,0.0,316367.23
121,20230121,1,1,827414.52,312995.17,156909.9,983499.79
122,20230121,2,1,3158226.48,389519.21,0.0,3547745.69
123,20230121,3,1,674224.54,19676.5,0.0,693901.04
124,20230121,1,2,1500009.47,235082.15,119380.54,1615711.08
125,20230121,2,2,2056794.36,157268.33,119862.05,2094200.64
126,20230121,3,2,316367.23,24240.6,0.0,340607.83
127,20230122,1,1,983499.79,192438.18,96662.9,1079275.07
128,20230122,2,1,3547745.69,214979.77,0.0,3762725.46
129,20230122,3,1,693901.04,42638.29,0.0,736539.33
130,20230122,1,2,1615711.08,134039.28,67305.22,1682445.14
131,20230122,2,2,2094200.64,102747.05,0.0,2196947.69
132,20230122,3,2,340607.83,12765.29,0.0,353373.12
133,20230123,1,1,1079275.07,88372.87,102614.46,1065033.48
134,20230123,2,1,3762725.46,158462.57,112539.49,3808648.54
135,20230123,3,1,736539.33,9175.08,0.0,745714.41
136,20230123,1,2,1682445.14,152867.75,77556.1,1757756.79
137,20230123,2,2,2196947.69,104226.62,3034.59,2298139.72
138,20230123,3,2,353373.12,20458.59,0.0,373831.71
139,20230124,1,1,1065033.48,226918.43,114010.24,1177941.67
140,20230124,2,1,3808648.54,254889.19,0.0,4063537.73
141,20230124,3,1,745714.41,58922.53,0.0,804636.94
142,20230124,1,2,1757756.79,125115.73,62859.37,1820013.15
143,20230124,2,2,2298139.72,87976.46,0.0,2386116.18
144,20230124,3,2,373831.71,12924.57,0.0,386756.28
145,20230125,1,1,1177941.67,86399.41,43563.77,1220777.31
146,20230125,2,1,4063537.73,157875.6,52853.58,4168559.75
147,20230125,3,1,804636.94,4570.45,0.0,809207.39
148,20230125,1,2,1820013.15,147353.35,73997.64,1893368.86
149,20230125,2,2,2386116.18,127803.13,53422.75,2460496.56
150,20230125,3,2,386756.28,14211.09,0.0,400967.37
151,20230126,1,1,1220777.31,185011.1,98889.86,1306898.55
152,20230126,2,1,4168559.75,189213.1,45637.13,4312135.72
153,20230126,3,1,809207.39,44291.6,0.0,853498.99
154,20230126,1,2,1893368.86,156241.35,80167.84,1969442.37
155,20230126,2,2,2460496.56,124128.15,7771.4,2576853.31
156,20230126,3,2,400967.37,18230.6,0.0,419197.97
