PurchaseKey,DateKey,ProductKey,SupplierKey,BusinessUnitKey,InvoiceNumber,Quantity,UnitPurchasePrice,TotalPurchaseAmount,PaymentMethodKey,PayableInvoiceNumber
1,20230109,1,12,1,PO-SC-000001,5.896,341.04,2010.77,2,
2,20230120,1,12,1,PO-SC-000002,5.896,343.76,2026.81,3,SINV-202301-SUP012-BU1
3,20230116,2,12,1,PO-SC-000003,5.417,508.44,2754.22,3,SINV-202301-SUP012-BU1
4,20230120,2,12,1,PO-SC-000004,5.417,510.09,2763.16,2,
5,20230105,4,12,1,PO-SC-000005,6.46,608.5,3930.91,2,
6,20230116,5,12,1,PO-SC-000006,2.173,986.78,2144.27,3,SINV-202301-SUP012-BU1
7,20230118,6,12,1,PO-SC-000007,7.327,262.27,1921.65,2,
8,20230119,6,12,1,PO-SC-000008,7.326,264.37,1936.77,1,
9,20230105,7,12,1,PO-SC-000009,8.245,394.29,3250.92,3,SINV-202301-SUP012-BU1
10,20230123,8,12,1,PO-SC-000010,7.12,527.53,3756.01,3,SINV-202301-SUP012-BU1
11,20230130,8,12,1,PO-SC-000011,7.12,528.17,3760.57,1,
12,20230118,9,12,1,PO-SC-000012,6.418,710.81,4561.98,2,
13,20230109,10,12,1,PO-SC-000013,24.568,179.14,4401.11,1,
14,20230116,10,12,1,PO-SC-000014,24.568,177.72,4366.22,3,SINV-202301-SUP012-BU1
15,20230126,10,12,1,PO-SC-000015,24.569,178.36,4382.13,1,
16,20230118,11,12,1,PO-SC-000016,5.441,253.77,1380.76,3,SINV-202301-SUP012-BU1
17,20230114,12,12,1,PO-SC-000017,10.044,1282.66,12883.04,2,
18,20230111,13,12,1,PO-SC-000018,4.633,444.66,2060.11,3,SINV-202301-SUP012-BU1
19,20230102,14,12,1,PO-SC-000019,6.598,635.21,4191.12,1,
20,20230102,15,12,1,PO-SC-000020,6.278,501.43,3147.98,3,SINV-202301-SUP012-BU1
21,20230112,15,12,1,PO-SC-000021,6.278,501.57,3148.86,3,SINV-202301-SUP012-BU1
22,20230116,16,12,1,PO-SC-000022,28.748,840.95,24175.63,3,SINV-202301-SUP012-BU1
23,20230120,16,12,1,PO-SC-000023,28.748,842.49,24219.9,2,
24,20230128,16,12,1,PO-SC-000024,28.748,842.69,24225.65,3,SINV-202301-SUP012-BU1
25,20230103,17,12,1,PO-SC-000025,28.161,356.9,10050.66,3,SINV-202301-SUP012-BU1
26,20230109,17,12,1,PO-SC-000026,28.161,356.89,10050.38,3,SINV-202301-SUP012-BU1
27,20230112,17,12,1,PO-SC-000027,28.16,356.21,10030.87,3,SINV-202301-SUP012-BU1
28,20230105,18,12,1,PO-SC-000028,3.31,646.79,2140.87,2,
29,20230103,19,12,1,PO-SC-000029,15.637,714.37,11170.6,2,
30,20230116,19,12,1,PO-SC-000030,15.637,712.36,11139.17,2,
31,20230123,19,12,1,PO-SC-000031,15.636,715.1,11181.3,3,SINV-202301-SUP012-BU1
32,20230109,20,12,1,PO-SC-000032,23.245,410.64,9545.33,1,
33,20230112,20,12,1,PO-SC-000033,23.245,409.62,9521.62,1,
34,20230118,20,12,1,PO-SC-000034,23.244,411.05,9554.45,3,SINV-202301-SUP012-BU1
35,20230111,21,12,1,PO-SC-000035,5.444,523.04,2847.43,2,
36,20230118,21,12,1,PO-SC-000036,5.444,523.76,2851.35,3,SINV-202301-SUP012-BU1
37,20230109,22,12,1,PO-SC-000037,3.593,608.78,2187.35,3,SINV-202301-SUP012-BU1
38,20230111,23,12,1,PO-SC-000038,8.296,263.06,2182.35,2,
39,20230123,23,12,1,PO-SC-000039,8.297,262.18,2175.31,3,SINV-202301-SUP012-BU1
40,20230102,24,12,1,PO-SC-000040,8.861,403.07,3571.6,3,SINV-202301-SUP012-BU1
41,20230123,25,12,1,PO-SC-000041,4.564,886.2,4044.62,2,
42,20230116,26,12,1,PO-SC-000042,28.295,428.72,12130.63,2,
43,20230120,26,12,1,PO-SC-000043,28.295,429.55,12154.12,1,
44,20230123,26,12,1,PO-SC-000044,28.295,428.41,12121.86,2,
45,20230114,27,12,1,PO-SC-000045,7.617,601.53,4581.85,3,SINV-202301-SUP012-BU1
46,20230116,28,12,1,PO-SC-000046,5.42,485.17,2629.62,3,SINV-202301-SUP012-BU1
47,20230105,29,12,1,PO-SC-000047,5.909,636.38,3760.37,3,SINV-202301-SUP012-BU1
48,20230109,29,12,1,PO-SC-000048,5.908,636.6,3761.03,2,
49,20230120,30,12,1,PO-SC-000049,9.893,353.23,3494.5,3,SINV-202301-SUP012-BU1
50,20230102,31,12,1,PO-SC-000050,23.17,265.96,6162.29,3,SINV-202301-SUP012-BU1
51,20230116,31,12,1,PO-SC-000051,23.17,266.71,6179.67,3,SINV-202301-SUP012-BU1
52,20230118,31,12,1,PO-SC-000052,23.17,265.42,6149.78,3,SINV-202301-SUP012-BU1
53,20230128,32,12,1,PO-SC-000053,8.679,379.77,3296.02,2,
54,20230130,33,12,1,PO-SC-000054,6.352,297.06,1886.93,1,
55,20230116,34,12,1,PO-SC-000055,4.393,435.46,1912.98,2,
56,20230116,35,12,1,PO-SC-000056,6.468,516.89,3343.24,3,SINV-202301-SUP012-BU1
57,20230120,35,12,1,PO-SC-000057,6.467,520.89,3368.6,1,
58,20230114,36,12,1,PO-SC-000058,4.778,1027.47,4909.25,3,SINV-202301-SUP012-BU1
59,20230102,37,12,1,PO-SC-000059,7.242,608.94,4409.94,3,SINV-202301-SUP012-BU1
60,20230105,37,12,1,PO-SC-000060,7.241,609.27,4411.72,1,
61,20230119,39,12,1,PO-SC-000061,10.01,340.17,3405.1,3,SINV-202301-SUP012-BU1
62,20230112,40,12,1,PO-SC-000062,10.106,405.14,4094.34,3,SINV-202301-SUP012-BU1
63,20230118,40,12,1,PO-SC-000063,10.106,406.89,4112.03,3,SINV-202301-SUP012-BU1
64,20230112,41,12,1,PO-SC-000064,8.681,477.28,4143.27,1,
65,20230119,42,12,1,PO-SC-000065,10.764,370.35,3986.45,1,
66,20230105,43,12,1,PO-SC-000066,8.925,184.67,1648.18,3,SINV-202301-SUP012-BU1
67,20230126,43,12,1,PO-SC-000067,8.926,183.77,1640.33,1,
68,20230119,44,12,1,PO-SC-000068,7.641,870.49,6651.41,1,
69,20230105,45,12,1,PO-SC-000069,8.265,1079.34,8920.75,2,
70,20230103,46,12,1,PO-SC-000070,23.427,533.77,12504.63,3,SINV-202301-SUP012-BU1
